id,Pendapatan Keluarga,Jumlah Tanggungan dalam Keluarga,Pekerjaan Orang Tua/Wali,Pendidikan Orang Tua/Wali,Kepemilikan Aset,Lokasi Tempat Tinggal,Pengeluaran Bulanan Keluarga,Status Kepesertaan Program Bantuan Pemerintah,Riwayat Beasiswa atau Bantuan Pendidikan,Ayah Hidup?,Ibu Hidup?,Status Kepemilikan Tempat Tinggal,Jumlah (Perkiraan Harga Pasar) Kendaraan yang Dimiliki,Daya Listrik (Watt),Luas Tanah Rumah (m2),Luas Bangunan Rumah (m2),NJOP per Meter,Bahan Atap Rumah,Bahan Tembok Rumah,Bahan Lantai Rumah,Rerata Pengeluaran Listrik & Air per Bulan,Total Hutang,Cicilan Hutang per Bulan,Program Studi,Kota,Jalur Masuk,Golongan UKT
90496,lebih dari Rp 5.000.000,2.0,Wiraswasta,SD/MI Sederajat,Milik Sendiri,Kabupaten Indramayu ,3000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,5000000.0,900.0,1729.0,10.0,36000.0,Genteng,Semen,Keramik,200000.0,,3000000.0,Ekonomi Pembangunan,Kabupaten Indramayu ,SNBP,5.0
76842,"kurang dari Rp 1.000.000,-",1.0,Wiraswasta,SD,Milik Sendiri,Kabupaten Grobogan ,50000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,7000000.0,900.0,253.0,104.0,82000.0,GENTENG,BATAKO DAN KAYU,PLESTER,150000.0,500000.0,20000.0,Pendidikan Guru Sekolah Dasar,Kabupaten Grobogan ,SNBP,1.0
76891,"kurang dari Rp 1.000.000,-",2.0,Buruh,MI,Milik Sendiri,Kabupaten Banyumas ,500000.0,KIS/JKS/BPJS,kipk,Hidup,Hidup,Milik Sendiri,2000000.0,450.0,605.0,54.0,64000.0,Genteng dan seng,Batu bata dan papan kayu,Keramik dan plester,65000.0,0.0,0.0,Pendidikan Guru Sekolah Dasar,Kabupaten Banyumas ,SNBP,0.0
128426,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Tidak Bekerja,MTs,Kontrak,Kab. Rembang,1000000.0,KIS/JKS/BPJS,kipk,Meninggal,Hidup,Kontrak,4000000.0,450.0,140.0,84.0,0.0,Genteng,Plester,Keramik,65000.0,4000000.0,400000.0,Pendidikan Geografi,Kab. Rembang,SNBT,0.0
124747,lebih dari Rp 5.000.000,1.0,Pegawai Swasta,S1,Kontrak,Kab. Temanggung,4200000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Kontrak,3.0,450.0,281.0,54.0,82.0,genteng,batu bata,keramik putih,118318.0,16170000.0,505000.0,Ilmu Sejarah,Kab. Temanggung,SNBP,5.0
69655,,1.0,Pegawai Pemerintahan,SLTA Sederajat,Milik Sendiri,Kabupaten Tegal ,4500000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,153000000.0,900.0,103.0,36.0,614.0,Genting,Batu bata,Granit,600000.0,225000000.0,4700000.0,Sastra Inggris,Kabupaten Tegal ,SNBT,7.0
83714,,0.0,Wiraswasta,D4,Milik Sendiri,Kabupaten Semarang ,1200000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Meninggal,Milik Sendiri,,450.0,360.0,38.0,128000.0,Genting,Batu bata,Keramik,50000.0,0.0,0.0,Ilmu Hukum,Kabupaten Semarang ,SNBT,4.0
126744,Rp 3.000.000 s.d. Rp 4.000.000,0.0,Wiraswasta,SMA,Kontrak,Kota Jakarta Utara,3000000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Kontrak,6000000.0,1300.0,40.0,36.0,0.0,asbes,batu bata,keramik,400000.0,0.0,0.0,Pendidikan Sosiologi dan Antropologi,Kota Jakarta Utara,SNBT,6.0
145845,Rp 2.000.000 s.d. Rp 3.000.000,1.0,Petani,MA,Milik Sendiri,Kab. Temanggung,1000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,10000000.0,900.0,96.0,110.0,12288000.0,Genting,Plester,Plester,90000.0,16740000.0,465000.0,Pendidikan Guru Sekolah Dasar,Kab. Temanggung,SNBP,3.0
43800,lebih dari Rp 5.000.000,2.0,Pegawai Pemerintahan,S-1/D4,Milik Sendiri,Kabupaten Grobogan ,1000000.0,,Tidak Ada,Hidup,Hidup,Milik Sendiri,0.0,900.0,797.0,96.0,20000.0,Genting tanah liat,Kayu,Keramik,250000.0,20000000.0,500000.0,Ilmu Hukum,Kabupaten Grobogan ,SNBP,6.0
96379,lebih dari Rp 5.000.000,1.0,Tidak Bekerja,SLTA,Menumpang,Kota Jakarta Utara ,3000000.0,KIS/JKS/BPJS,KIPK,Hidup,Hidup,Menumpang,0.0,2200.0,225.0,190.0,,Genting,Semen/Beton,Ubin,616016.0,17650000.0,1765000.0,Bimbingan dan Konseling,Kota Jakarta Utara ,SNBT,0.0
90721,Rp 3.000.000 s.d. Rp 4.000.000,1.0,Wiraswasta,SD/MI Sederajat,Milik Sendiri,Kabupaten Jepara ,1000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,74000000.0,450.0,200.0,54.0,128000.0,Genting tanah liat,Batu bata merah,Keramik,120000.0,0.0,0.0,Seni Rupa,Kabupaten Jepara ,SNBP,5.0
129828,lebih dari Rp 5.000.000,1.0,Wiraswasta,SLTA Sederajat,Milik Sendiri,Kab. Brebes,2000000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,70000000.0,900.0,306.0,113.0,64000.0,genteng,batu bata,keramik,230000.0,0.0,0.0,Teknik Mesin,Kab. Brebes,SNBT,5.0
